id,name,path
1,レディース,1/
2,メンズ,2/
3,ベビー・キッズ,3/
4,インテリア・住まい・小物,4/
5,本・音楽・ゲーム,5/
6,おもちゃ・ホビー・グッズ,6/
7,コスメ・香水・美容,7/
8,家電・スマホ・カメラ,8/
9,スポーツ・レジャー,9/
10,ハンドメイド,10/
11,チケット,11/
12,自動車・オートバイ,12/
13,その他,13/
14,トップス,1/1
15,ジャケット/アウター,1/2
16,パンツ,1/3
17,スカート,1/4
18,ワンピース,1/5
19,靴,1/6
20,ルームウェア/パジャマ,1/7
21,レッグウェア,1/8
22,帽子,1/9
23,バッグ,1/10
24,アクセサリー,1/11
25,ヘアアクセサリー,1/12
26,小物,1/13
27,時計,1/14
28,ウィッグ/エクステ,1/15
29,浴衣/水着,1/16
30,スーツ/フォーマル/ドレス,1/17
31,マタニティ,1/18
32,その他,1/19
33,トップス,2/1
34,ジャケット/アウター,2/2
35,パンツ,2/3
36,靴,2/4
37,バッグ,2/5
38,スーツ,2/6
39,帽子,2/7
40,アクセサリー,2/8
41,小物,2/9
42,時計,2/10
43,水着,2/11
44,レッグウェア,2/12
45,アンダーウェア,2/13
46,その他,2/14
47,ベビー服(女の子用)  ~95cm,3/1
48,ベビー服(男の子用)  ~95cm,3/2
49,ベビー服(男女兼用)  ~95cm,3/3
50,キッズ服(女の子用) 100cm~,3/4
51,キッズ服(男の子用) 100cm~,3/5
52,キッズ服(男女兼用) 100cm~,3/6
53,キッズ靴,3/7
54,子ども用ファッション小物,3/8
55,おむつ/トイレ/バス,3/9
56,外出/移動用品,3/10
57,授乳/食事,3/11
58,ベビー家具/寝具/室内用品,3/12
59,おもちゃ,3/13
60,行事/記念品,3/14
61,その他,3/15
62,キッチン/食器,4/1
63,ベッド/マットレス,4/2
64,ソファ/ソファベッド,4/3
65,椅子/チェア,4/4
66,机/テーブル,4/5
67,収納家具,4/6
68,ラグ/カーペット/マット,4/7
69,カーテン/ブラインド,4/8
70,ライト/照明,4/9
